system:index,fnf
0_0,2
1_0,1
2_0,3
3_0,1
4_0,1
5_0,2
6_0,2
7_0,2
8_0,2
9_0,2
10_0,2
11_0,2
12_0,2
13_0,1
14_0,1
15_0,2
16_0,2
17_0,1
18_0,2
19_0,2
20_0,2
21_0,2
22_0,2
23_0,2
24_0,2
25_0,2
26_0,1
27_0,2
28_0,1
29_0,2
30_0,2
31_0,1
32_0,1
33_0,1
34_0,2
35_0,2
36_0,2
37_0,2
38_0,2
39_0,2
40_0,2
41_0,2
42_0,1
43_0,2
44_0,2
45_0,1
46_0,1
47_0,1
48_0,3
49_0,1
50_0,3
51_0,1
52_0,1
53_0,1
54_0,2
55_0,2
56_0,2
57_0,2
58_0,2
59_0,2
60_0,2
61_0,1
62_0,2
63_0,2
64_0,2
65_0,2
66_0,1
67_0,1
68_0,2
69_0,1
70_0,1
71_0,2
72_0,2
73_0,1
74_0,2
75_0,1
76_0,2
77_0,2
78_0,2
79_0,1
80_0,1
81_0,2
82_0,1
83_0,2
84_0,1
85_0,3
86_0,2
87_0,1
88_0,2
89_0,2
90_0,3
91_0,2
92_0,1
93_0,2
94_0,3
95_0,2
96_0,1
97_0,2
98_0,3
99_0,1
100_0,2
101_0,2
102_0,1
103_0,1
104_0,3
105_0,1
106_0,2
107_0,2
108_0,2
109_0,1
110_0,1
111_0,2
112_0,1
113_0,2
114_0,1
115_0,2
116_0,2
117_0,1
118_0,2
119_0,2
120_0,1
121_0,1
122_0,3
123_0,2
124_0,2
125_0,2
126_0,2
127_0,2
128_0,2
129_0,1
130_0,2
131_0,2
132_0,1
133_0,2
134_0,2
135_0,1
136_0,2
137_0,2
138_0,1
139_0,2
140_0,2
141_0,2
142_0,3
143_0,1
144_0,2
145_0,1
146_0,2
147_0,2
148_0,2
149_0,2
150_0,3
151_0,2
152_0,1
153_0,1
154_0,1
155_0,2
156_0,1
157_0,1
158_0,2
159_0,3
160_0,2
161_0,2
162_0,2
163_0,2
164_0,2
165_0,2
166_0,1
167_0,2
168_0,1
169_0,2
170_0,2
171_0,2
172_0,1
173_0,1
174_0,3
175_0,2
176_0,1
177_0,2
178_0,2
179_0,1
180_0,2
181_0,2
182_0,2
183_0,2
184_0,1
185_0,3
186_0,2
187_0,1
188_0,2
189_0,3
190_0,1
191_0,2
192_0,2
193_0,2
194_0,2
195_0,2
196_0,2
197_0,1
198_0,1
199_0,2
200_0,1
201_0,3
202_0,1
203_0,2
204_0,1
205_0,1
206_0,1
207_0,1
208_0,1
209_0,1
210_0,2
211_0,2
212_0,2
213_0,1
214_0,1
215_0,2
216_0,1
217_0,2
218_0,2
219_0,2
220_0,1
221_0,1
222_0,1
223_0,2
224_0,2
225_0,2
226_0,1
227_0,2
228_0,1
229_0,2
230_0,1
231_0,1
232_0,2
233_0,1
234_0,2
235_0,1
236_0,3
237_0,1
238_0,2
239_0,2
240_0,3
241_0,2
242_0,1
243_0,2
244_0,2
245_0,1
246_0,2
247_0,1
248_0,1
249_0,1
250_0,2
251_0,2
252_0,2
253_0,2
254_0,1
255_0,2
256_0,2
257_0,2
258_0,2
259_0,2
260_0,2
261_0,2
262_0,2
263_0,2
264_0,1
265_0,2
266_0,2
267_0,2
268_0,2
269_0,2
270_0,2
271_0,2
272_0,2
273_0,2
274_0,2
275_0,2
276_0,2
277_0,2
278_0,1
279_0,1
280_0,1
281_0,2
282_0,2
283_0,2
284_0,2
285_0,3
286_0,2
287_0,2
288_0,3
289_0,2
290_0,3
291_0,1
292_0,1
293_0,1
294_0,2
295_0,2
296_0,1
297_0,2
298_0,2
299_0,2
300_0,2
301_0,2
302_0,1
303_0,1
304_0,2
305_0,1
306_0,2
307_0,2
308_0,2
309_0,2
310_0,1
311_0,2
312_0,1
313_0,2
314_0,2
315_0,1
316_0,2
317_0,1
318_0,2
319_0,3
320_0,1
321_0,1
322_0,3
323_0,2
324_0,3
325_0,2
326_0,2
327_0,1
328_0,2
329_0,2
330_0,1
331_0,2
332_0,1
333_0,2
334_0,2
335_0,1
336_0,1
337_0,2
338_0,2
339_0,2
340_0,1
341_0,2
342_0,1
343_0,1
344_0,2
345_0,1
346_0,2
347_0,1
348_0,1
349_0,3
350_0,2
351_0,1
352_0,2
353_0,2
354_0,1
355_0,2
356_0,2
357_0,2
358_0,3
359_0,1
360_0,1
361_0,3
362_0,1
363_0,1
364_0,2
365_0,2
366_0,2
367_0,1
368_0,2
369_0,2
370_0,1
371_0,1
372_0,2
373_0,2
374_0,2
375_0,2
376_0,2
377_0,2
378_0,1
379_0,1
380_0,2
381_0,2
382_0,2
383_0,2
384_0,2
385_0,1
386_0,2
387_0,2
388_0,2
389_0,2
390_0,2
391_0,2
392_0,2
393_0,2
394_0,1
395_0,2
396_0,2
397_0,2
398_0,1
399_0,2
400_0,2
401_0,2
402_0,2
403_0,2
404_0,2
405_0,1
406_0,2
407_0,1
408_0,3
409_0,1
410_0,2
411_0,2
412_0,3
413_0,1
414_0,2
415_0,2
416_0,2
417_0,1
418_0,1
419_0,2
420_0,2
421_0,2
422_0,1
423_0,2
424_0,3
425_0,2
426_0,2
427_0,1
428_0,2
429_0,1
430_0,3
431_0,1
432_0,2
433_0,2
434_0,3
435_0,1
436_0,2
437_0,1
438_0,1
439_0,2
440_0,2
441_0,1
442_0,2
443_0,1
444_0,2
445_0,2
446_0,2
447_0,1
448_0,1
449_0,2
450_0,2
451_0,2
452_0,1
453_0,1
454_0,2
455_0,2
456_0,2
457_0,2
458_0,2
459_0,1
460_0,2
461_0,2
462_0,2
463_0,2
464_0,2
465_0,2
466_0,1
467_0,2
468_0,2
469_0,2
470_0,2
471_0,2
472_0,2
473_0,2
474_0,2
475_0,2
476_0,2
477_0,2
478_0,2
479_0,1
480_0,1
481_0,1
482_0,2
483_0,2
484_0,2
485_0,2
486_0,1
487_0,3
488_0,2
489_0,2
490_0,1
491_0,1
492_0,2
493_0,2
494_0,2
495_0,2
496_0,3
497_0,2
498_0,1
499_0,3
500_0,2
501_0,2
502_0,1
503_0,2
504_0,2
505_0,2
506_0,2
507_0,3
508_0,2
509_0,1
510_0,2
511_0,1
512_0,1
513_0,1
514_0,2
515_0,3
516_0,1
517_0,1
518_0,3
519_0,1
520_0,2
521_0,1
522_0,2
523_0,2
524_0,1
525_0,3
526_0,1
527_0,2
528_0,2
529_0,1
530_0,1
531_0,2
532_0,2
533_0,2
534_0,2
535_0,2
536_0,1
537_0,2
538_0,2
539_0,1
540_0,1
541_0,2
542_0,1
543_0,2
544_0,2
545_0,3
546_0,2
547_0,1
548_0,1
549_0,1
550_0,2
551_0,2
552_0,2
553_0,2
554_0,2
555_0,2
556_0,3
557_0,1
558_0,1
559_0,2
560_0,2
561_0,2
562_0,1
563_0,1
564_0,2
565_0,1
566_0,2
567_0,2
568_0,2
569_0,2
570_0,2
571_0,2
572_0,2
573_0,2
574_0,1
575_0,1
576_0,3
577_0,1
578_0,2
579_0,1
580_0,1
581_0,2
582_0,2
583_0,1
584_0,1
585_0,2
586_0,1
587_0,2
588_0,2
589_0,2
590_0,2
591_0,2
592_0,2
593_0,2
594_0,2
595_0,1
596_0,2
597_0,1
598_0,2
599_0,1
600_0,2
601_0,1
602_0,3
603_0,1
604_0,1
605_0,2
606_0,2
607_0,2
608_0,2
609_0,2
610_0,2
611_0,2
612_0,1
613_0,2
614_0,1
615_0,1
616_0,2
617_0,2
618_0,2
619_0,2
620_0,2
621_0,1
622_0,2
623_0,2
624_0,2
625_0,2
626_0,1
627_0,2
628_0,1
629_0,2
630_0,3
631_0,2
632_0,2
633_0,1
634_0,2
635_0,2
636_0,2
637_0,1
638_0,3
639_0,1
640_0,2
641_0,2
642_0,2
643_0,1
644_0,2
645_0,2
646_0,2
647_0,2
648_0,2
649_0,1
650_0,2
651_0,1
652_0,2
653_0,1
654_0,1
655_0,1
656_0,1
657_0,1
658_0,3
659_0,1
660_0,2
661_0,2
662_0,2
663_0,1
664_0,2
665_0,2
666_0,2
667_0,1
668_0,2
669_0,3
670_0,1
671_0,1
672_0,2
673_0,2
674_0,1
675_0,2
676_0,2
677_0,1
678_0,1
679_0,2
680_0,2
681_0,1
682_0,1
683_0,2
684_0,3
685_0,2
686_0,1
687_0,2
688_0,2
689_0,2
690_0,2
691_0,2
692_0,1
693_0,2
694_0,2
