system:index,Fpar,FparExtra_QC,FparLai_QC,FparStdDev,Lai,LaiStdDev
3_0,36,128,0,5,7,1
4_0,67,0,2,9,17,10
6_0,33,128,2,4,6,1
7_0,53,128,0,3,10,1
8_0,30,136,0,7,5,1
9_0,44,128,2,3,7,1
11_0,13,132,2,5,2,1
12_0,43,132,2,4,8,1
14_0,67,1,2,9,19,9
15_0,10,128,0,0,1,0
17_0,86,0,2,6,35,11
18_0,48,128,2,5,12,2
19_0,34,128,0,6,6,1
21_0,26,128,0,6.5,4,1
22_0,13,136,0,7,2,1
24_0,26,136,2,4,3,1
26_0,49,4,2,8,11,3
28_0,33,128,0,6,7,1
29_0,9,136,2,0,1,0
31_0,72,0,2,9,22,11
32_0,49,128,2,4,12,2
33_0,15,136,2,4,3,1
34_0,51,129,2,5,11,2
35_0,20,128,2,9,3,1
36_0,40,128,2,5,11,2
37_0,18,9,2,6,3,1
38_0,27,128,0,6,4,1
39_0,34,128,2,6,8,2
41_0,29,128,2,5,5,1
42_0,80,0,2,7,30,11
43_0,13,136,2,4.5,2,1
44_0,18,136,2,8,3,1
45_0,73,0,2,8,24,11
46_0,75,8,2,7,22,11
47_0,41,136,2,5,9,1
49_0,55,128,0,4,15,2
51_0,68,8,0,10,17,6
52_0,45,4,2,10,9,4
53_0,89,0,34,6,36,10
54_0,7,160,0,0,1,0
55_0,24,128,0,5,3,1
56_0,9,136,0,0,1,0
58_0,10,128,0,6,2,1
59_0,13,129,2,7,2,1
60_0,9,160,2,5,2,1
61_0,82,0,2,6,33,11
63_0,12,136,0,7,2,1
64_0,27,129,2,5,6,1
65_0,32,128,0,5,6,1
66_0,90,8,97,6,46,6.5
67_0,66,8,8,7,18,9
68_0,28,128,2,5,5,1
69_0,56,128,2,4,14,2
70_0,41,133,2,4,8,1
71_0,29,128,0,6,5,1
72_0,14,128,0,7,2,1
73_0,93,8,97,6.5,53,10
74_0,28,128,2,6,5,1
75_0,44,128,0,4,7,1
76_0,20,128,2,8,3,2
78_0,10,128,0,5,1,1
79_0,24,136,2,6,3,1
80_0,13,136,16,4,2,1
81_0,41,128,2,3,7,1
82_0,42,8,2,8,8,3
83_0,9,160,2,5,1,1
84_0,44,128,0,5,11,2
86_0,17,128,0,8,3,1
87_0,82,8,32,6,31,11
88_0,17,132,0,5,3,1
89_0,45,128,2,4,8,1
91_0,39,128,0,6,8,1
92_0,65,0,2,9,15,5
93_0,27,128,0,5,5,2
95_0,52,128,2,5,12,2
96_0,92,8,97,8,49,9
97_0,36,128,2,4,6,1
99_0,69,32,2,9,19,4
100_0,21,128,2,7,4,2
101_0,11,128,2,6,2,1
102_0,82,0,32,6.5,32,9
103_0,42,132,2,4,9,1
105_0,37,160,2,4.5,6,1
106_0,54,128,2,5,14,2
107_0,36,128,2,6,6,1
108_0,20,130,0,5,3,1
109_0,39,132,2,5,7,1
110_0,35,128,2,5,7,1
112_0,57,0,2,9,15,4
114_0,65,8,0,9,18,5
115_0,10,136,0,6,2,1
116_0,61,128,0,5,15,2
117_0,50,128,2,5,14,2
118_0,7,160,0,0,1,0
119_0,12,128,0,7,2,1
120_0,39,128,2,5,9,2
121_0,62,128,2,4,17,2
123_0,48,128,2,3,9,1
125_0,10,132,10,0,1,0
126_0,32,128,0,5,6,1
127_0,16,136,0,7,3,1
128_0,36,128,0,5,8,2
129_0,71,0,0,9,19,10
130_0,48,128,0,5,13,2
132_0,68,128,2,4,19,2
133_0,15,128,0,7,2,1
134_0,17,136,2,7,3,1
135_0,68,8,2,9,18,6
136_0,10,160,2,6,2,1
137_0,8,160,2,0,1,0
138_0,55,128,2,5,14,2
139_0,36,128,2,5,8,1
141_0,9,136,0,0,1,0
143_0,55,128,0,4,16,2
145_0,58,8,2,9,11,3
146_0,25,130,2,4,3,1
147_0,10,136,2,0,1,0
149_0,20,136,2,5,3,1
152_0,42,5,2,9.5,7,3
153_0,77,0,2,7,27,11
154_0,19,8,32,9,3,3
155_0,27,136,2,5,3,1
156_0,9,160,8,4,1,1
157_0,92,8,34,6,49,9
158_0,14,128,2,7,2,1
160_0,42,128,0,5,9,2
161_0,11,128,0,6,2,1
162_0,15,160,8,5,2,1
163_0,7,160,2,0,1,0
164_0,66,0,2,9,17,5
165_0,20,136,2,5,3,1
166_0,41,128,2,5,10,1
168_0,41,128,0,5,11,2
169_0,9,136,0,0,1,0
170_0,37,136,2,4,6,1
171_0,53,128,2,3,10,1
172_0,42,128,0,4,11,2
173_0,77,0,0,9,26,12
175_0,17,128,2,8,2,1
176_0,57,0,2,9,14,4
178_0,12,136,2,5,2,1
179_0,9,160,10,0,1,0
181_0,31,128,2,5,6,1
182_0,21,128,2,7,4,2
184_0,32,129,2,6,8,2
186_0,9,160,2,0,1,0
187_0,56,8,0,8.5,13,3
188_0,26,128,2,5,4,1
190_0,35,136,2,5,7,1
191_0,21,128,2,7,4,1
192_0,81,0,2,7,27,11
193_0,42,136,2,4,8,1
194_0,32,12,10,10,5,3
195_0,26,128,0,4,4,1
197_0,73,0,2,8,21,11
198_0,63,4,2,9,17,5
199_0,14,136,0,7,2,1
200_0,56,1,2,9,13,5
202_0,39,136,2,4,8,1
203_0,20,136,2,6,3,1
204_0,53,136,2,5,11,1.5
205_0,85,0,8,7,33,11
206_0,47,128,2,4,12,2
207_0,61,1,2,8,16,5
208_0,41,128,0,5,10,2
209_0,44,128,2,5,10,1
213_0,69,0,2,8,20,10
214_0,82,0,2,7,31,12
215_0,16,128,2,7,2,1
216_0,50,128,0,5,12,2
217_0,9,128,0,0,1,0
218_0,10,160,2,0,1,0
219_0,26,128,0,6,5,1
220_0,58,4,2,9,15,4
221_0,54,128,2,4,15,2
222_0,39,128,0,5,9,2
223_0,11,160,8,4,2,1
224_0,28,128,2,6,7,2
225_0,25,136,2,5,6,2
226_0,71,0,2,9.5,21,10
228_0,54,8,0,9,12,3
229_0,14,136,2,5,3,1
230_0,67,0,2,9,21,11
231_0,64,0,2,9,14,7
233_0,92,0,32,5,47,10
234_0,36,128,2,5,7,1
235_0,49,129,0,4,14,2
237_0,71,4,2,8,22,10
238_0,15,128,2,7,2,1
239_0,49,128,0,5,12,2
241_0,23,128,2,5,5,1
242_0,52,128,2,4,14,2
244_0,43,128,2,5,9,1.5
245_0,45,128,0,3,8,1
246_0,20,128,2,7,3,1
247_0,38,129,2,5,7,1
249_0,69,8,0,8,20,5
250_0,10,136,0,6,2,1
251_0,10,160,2,6,2,1
252_0,11,129,2,7,2,1
253_0,25,136,2,0,3,0
255_0,12,136,0,6,2,1
256_0,10,128,0,6,2,1
257_0,17,128,2,5,3,1
258_0,19,128,0,6,3,1
259_0,19,128,2,8.5,3,2
260_0,29,128,0,6,5,1
261_0,32,128,2,6,7,2
262_0,20,128,2,9,3,1
263_0,10,160,2,0,1,0
264_0,45,0,2,9,9,4
266_0,10,128,2,0,1,0
267_0,9,136,2,0,1,0
269_0,22,136,0,7,3,1
270_0,21,129,0,7,4,2
273_0,13,128,0,7,2,1
274_0,26,128,2,7,5,2
275_0,42,128,2,4,7,1
277_0,43,8,2,9,8,2
278_0,58,128,0,4,17,2
279_0,61,128,2,4,17,2
280_0,36,128,2,3,7,1
281_0,10,128,0,0,1,0
282_0,35,136,2,5,6,1
283_0,13,128,0,7,2,1
284_0,27,128,2,4,4,1
286_0,24,128,2,4,4,1
287_0,21,128,2,9,3,1
289_0,40,128,2,5,10,2
291_0,75,1,2,8,26,11
292_0,82,8,10,6,29,10
293_0,35,128,2,5,9,2
294_0,22,133,2,4,3,1
295_0,13,136,2,5,2,1
296_0,24,137,2,5,4,1
297_0,13,128,0,7,2,1
298_0,12,136,2,5,2,1
299_0,13,128,0,6,2,1
300_0,9,136,0,0,1,0
301_0,27,128,2,6,5,1
302_0,28,136,2,5,6,1
303_0,33,128,0,4,6,1
304_0,7,136,0,0,1,0
305_0,22,136,2,5,3,1
307_0,27,136,2,6,4,1
308_0,40,128,0,5,10,2
309_0,12,160,2,5,2,1
310_0,32,8,2,9,5,4
312_0,76,0,2,7,26,11
313_0,11,128,0,6,2,1
314_0,37,8,2,9.5,6,2
315_0,37,128,2,5,9,1.5
317_0,94,8,97,7,54,4
318_0,39,128,0,5,10,2
320_0,70,4,2,8,23,11
321_0,64,0,2,9,13,4
323_0,26,129,0,7,4,1
325_0,49,128,2,3.5,9,1
326_0,55,128,0,3,12,1
327_0,85,0,32,6,32,12
328_0,30,128,2,5,6,1
329_0,9,136,2,0,1,0
330_0,53,128,0,4,14,1
331_0,20,132,2,5,3,1
332_0,52,128,0,4,14,2
333_0,24,136,2,4.5,3,1
334_0,8,136,0,0,1,0
335_0,66,8,2,9,17,4
336_0,59,0,2,10,13,4
337_0,54,136,0,5,12,2
338_0,27,128,2,6,5,1
340_0,41,128,2,5,11,2
341_0,12,136,2,7,2,1
342_0,44,128,0,5,11,2
343_0,35,128,0,5.5,7,1
344_0,26,136,2,6,5,1
345_0,41,128,2,5,10,2
346_0,9,161,2,4,2,1
347_0,72,0,2,9,23,10.5
348_0,32,129,2,4.5,6,1
350_0,48,129,2,5,10,2
351_0,70,0,0,9,22,6.5
352_0,19,128,2,8,3,2
354_0,70,0,2,9,20,10
355_0,8,160,8,0,1,0
356_0,49,128,2,4,13,2
357_0,24,136,2,0,3,0
359_0,77,0,2,8,23,11
360_0,66,0,2,9,20,10
362_0,51,5,2,9,11,4
363_0,45,128,2,5,11,2
364_0,13,128,0,7,2,1
365_0,16,128,2,7,3,1
366_0,10,160,2,6,2,1
367_0,40,128,2,5,10,2
370_0,43,128,2,5,10,2
371_0,58,128,2,4,14,2
372_0,42,128,0,4,6,1
373_0,37,128,0,6,6,1
375_0,33,128,2,5,7,1
376_0,26,129,2,5,4,1
378_0,58,128,0,4,15,2
379_0,41,128,2,5,10,1
380_0,15,128,0,7,2,1
381_0,6,161,97,0,1,0
382_0,17,128,0,8,3,1
383_0,27,128,2,6,5,1
384_0,10,128,0,5,2,1
385_0,93,0,97,5.5,50,5.5
386_0,32,128,2,5,6,1
387_0,28,128,2,6,5,1
389_0,26,128,2,6,4,1
390_0,40,128,2,5,11,2
391_0,26,128,0,6,4,1
392_0,14,128,0,7,2,1
393_0,13,129,2,5,2,1
394_0,42,136,0,4,7,1
396_0,33,136,2,3,6,1
398_0,58,0,2,9,14,3
399_0,42,128,2,5,10,2
400_0,39,128,0,5,7,1
401_0,33,129,0,4,7,1
402_0,27,136,2,6,4,1
403_0,41,136,2,4,7,1
404_0,26,128,2,5,5,2
405_0,35,128,0,4,7,1
407_0,44,128,2,4,11,2
409_0,0,160,97,0,0,0
410_0,46,129,2,3,8,1
411_0,42,136,2,5,9,2
413_0,87,0,18,6,34,12
414_0,24,128,2,5,5,1
416_0,38,136,2,4,11,2
417_0,80,0,2,7,26,11
418_0,35,128,2,5,7,1
420_0,12,136,2,6,2,1
421_0,29,128,2,6,5,1
422_0,89,1,32,6,40,10
425_0,28,128,2,6,5,1
426_0,10,128,0,6,2,1
427_0,44,128,0,5,11,2
428_0,13,128,0,7,2,1
429_0,73,2,0,8,22,10
433_0,37,128,2,5,9,2
436_0,8,138,2,0,1,0
437_0,38,128,2,5,9,1
438_0,60,0,2,10,14,4
440_0,32,128,0,6,6,1
441_0,45,8,2,9,10,4
442_0,7,160,0,0,1,0
443_0,65,0,2,9,17,4
446_0,31,128,2,5,5,1
447_0,45,136,2,3,8,1
448_0,69,0,0,9,20,9
451_0,60,128,0,5,12,2
452_0,60,128,0,4,16,2
453_0,38,128,2,5,7,1
454_0,15,128,2,7,2,1
455_0,25,136,2,6,4,1
456_0,44,128,2,5,9,1
458_0,13,128,0,7,2,1
459_0,54,129,2,3,10,1
461_0,46,128,0,3,8,1
462_0,27,128,0,5,5,1
463_0,44,128,2,4,7,1
467_0,15,136,2,7,2,1
468_0,7,136,2,0,1,0
469_0,10,136,0,5,2,1
471_0,26,128,2,5,5,1
472_0,10,161,2,0,1,0
473_0,33,128,0,6,6,1
474_0,32,128,2,5,7,1
475_0,13,136,2,7,2,1
477_0,33,128,0,5,8,2
478_0,23,136,2,5,4,1
479_0,64,8,2,9,16,4
480_0,60,4,2,9,16,9
481_0,64,4,2,9,16,5.5
482_0,51,128,0,5,14,2
483_0,44,128,2,4,10,2
485_0,25,128,2,5,5,1
486_0,41,128,0,4,11,1
488_0,48,136,0,3,9,1
489_0,40,128,0,6,9,2
490_0,11,160,16,5,2,1
491_0,49,128,0,5,13,2
492_0,22,128,2,5,4,1
493_0,16,128,0,8,2,1
494_0,38,128,2,4,7,1
495_0,36,128,0,5,6,1
497_0,19,128,0,8,3,1
498_0,91,8,97,5.5,47,11
500_0,10,136,0,6,2,1
501_0,10,160,2,5,1,1
502_0,47,128,2,5,9,1
504_0,10,160,2,4,2,1
505_0,48,128,0,3,10,1
506_0,11,136,0,5,2,1
508_0,23,136,2,5,4,1
509_0,54,8,2,9,12,4
510_0,42,128,2,4,7,1
511_0,55,8,2,9,12,3
512_0,33,136,0,5,7,1
513_0,56,4,2,9.5,13,4
516_0,82,0,32,6.5,32,11
517_0,59,0,0,9,15,4
519_0,69,1,2,8,17,5
520_0,32,128,2,5,8,1
521_0,67,8,2,10,17,6
522_0,34,129,2,0,6,0
523_0,12,128,2,6,2,1
524_0,24,132,2,5,4,1
526_0,61,0,0,9,14,4
527_0,27,128,0,5,5,1
529_0,88,0,32,5,42,11
530_0,83,0,2,7,32,12
531_0,39,128,0,5,10,2
533_0,47,128,2,5,9,2
534_0,10,128,2,6,2,1
535_0,40,129,0,5,7,1
536_0,0,161,105,0,0,0
537_0,25,129,2,4.5,3,1
538_0,42,128,2,5,10,2
539_0,44,8,2,9,8,2
540_0,19,136,2,5,3,1
541_0,37,129,2,5,7,1
542_0,46,128,2,5,11,2
543_0,49,128,0,5,14,2
544_0,17,136,2,6,3,1
546_0,19,128,2,9,3,1
547_0,77,0,2,8,27,11
548_0,63,128,0,4,19,2
549_0,33,136,2,6,6,1
550_0,11,128,0,6,2,1
553_0,0,160,97,0,0,0
554_0,9,160,2,0,1,0
555_0,23,128,2,7,4,2
557_0,41,4,2,9,9,3
558_0,46,128,2,5,12,2
559_0,10,128,0,0,1,0
560_0,24,136,2,4,3,1
561_0,15,128,2,6,3,1
562_0,23,128,2,5,3,1
563_0,90,8,32,6,39,10
564_0,44,129,2,4,10,2
566_0,31,128,0,6,6,1
567_0,9,128,2,0,1,0
568_0,28,128,0,6,5,1
569_0,11,128,0,6,2,1
570_0,33,128,2,6,8,1
571_0,9,160,0,0,1,0
572_0,10,136,0,6,2,1
573_0,40,128,0,5,8,1
574_0,75,0,2,6,24,9
575_0,44,128,0,5,12,2
577_0,60,4,2,10,15,6
578_0,13,136,0,7,2,1
579_0,30,128,0,6,6,1
580_0,29,136,0,4,5,1.5
581_0,36,128,2,6,9,2
582_0,48,128,2,4,10,1
583_0,47,128,2,5,11,2
584_0,66,0,2,8,19,5
585_0,11,128,0,6,2,1
586_0,69,8,2,7,21,4
587_0,51,128,2,4,13,2
588_0,65,8,10,7,15,5
589_0,34,128,2,6,7,2
590_0,31,128,2,5,6,1
591_0,12,136,0,6,2,1
592_0,44,128,0,5,9,2
593_0,19,128,0,8,3,2
594_0,31,136,2,4,5,1
595_0,20,136,2,5,3,1
596_0,37,129,2,4,7,1
597_0,32,136,2,4,7,1
598_0,16,128,2,8,2,1
599_0,14,136,0,7,2,1
600_0,34,128,2,5,7,1
601_0,44,4,2,8,10,3
603_0,91,8,97,7,43,4
604_0,56,128,2,4,15,2
605_0,21,128,2,7,4,1
606_0,12,128,0,7,2,1
607_0,19,128,0,8,3,1
608_0,37,129,0,6,8,2
609_0,18,128,0,9,3,1
611_0,28,129,2,5,5,1
612_0,56,128,0,4,16,2
613_0,7,160,0,0,1,0
614_0,45,128,0,5,11,2
615_0,67,8,2,9,17,10
616_0,20,136,2,3,3,1
617_0,43,128,0,4,7,1
618_0,13,128,0,7,2,1
619_0,21,128,2,8,4,2
620_0,11,160,2,6,2,1
621_0,36,132,2,5,7,1
622_0,53,128,0,4,13,2
623_0,11,136,2,6,2,1
624_0,11,128,2,6,2,1
625_0,34,128,2,6,6,1
626_0,62,1,2,10,15,4
627_0,28,129,2,6,4,1
628_0,69,0,2,9,16,5
629_0,20,128,0,9,4,2
631_0,32,128,2,6,9,2
632_0,12,128,0,7,2,1
633_0,49,128,2,5,13,2
634_0,10,129,2,6,2,1
635_0,12,128,2,6,2,1
637_0,58,8,2,9,14,4
639_0,57,0,2,8,14,3
640_0,15,128,0,7,2,1
641_0,17,136,2,5,3,1
642_0,30,128,2,6,6,1
643_0,50,128,2,5,13,2
644_0,49,8,2,9,10,3
645_0,24,128,0,8,4,1
646_0,10,128,0,6,2,1
647_0,42,128,0,6,9,2
648_0,45,128,2,5,11,2
649_0,37,136,2,5,6,1
650_0,26,128,2,5,5,1
652_0,18,128,2,8,3,1
653_0,89,8,97,5.5,45,11
654_0,72,0,2,8,21,10
655_0,49,129,2,3,9,1
656_0,94,8,97,6,52,3
657_0,85,0,8,7,33,12
659_0,61,0,2,9,16,4.5
660_0,60,128,2,4,16,2
661_0,67,8,2,9,16,5
662_0,18,128,0,7,3,1
663_0,49,8,2,9,10,3
664_0,33,130,2,6,8,2
665_0,27,136,2,6,5,1
666_0,26,128,2,6,5,1
667_0,60,8,0,9,12,3
670_0,63,1,2,9,15,4
671_0,28,136,2,4,5,1
672_0,7,136,0,0,1,0
673_0,10,128,2,0,1,0
675_0,29,128,0,6,7,2
676_0,51,0,2,9,12,4
677_0,86,0,32,6,37,11
678_0,12,136,0,6,2,1
679_0,12,128,0,7,2,1
680_0,57,129,2,5,12,2
681_0,48,128,2,5,11,2
682_0,56,5,2,9,12,4
683_0,12,128,0,7,2,1
685_0,9,136,2,5,2,1
686_0,33,128,0,5,7,1
687_0,12,128,2,7,2,1
688_0,12,136,2,6,2,1
689_0,34,136,2,6,6,1
690_0,13,136,0,7,2,1
692_0,92,0,97,8,48,10
693_0,6,136,2,0,1,0
694_0,14,128,2,7,2,1
695_0,40,128,2,3,7,1
696_0,15,128,2,7,2,1
699_0,22,128,2,5,4,1
701_0,30,128,0,6,6,1
702_0,55,128,0,4,15,2
703_0,66,0,2,9,17,5
704_0,35,128,0,6,7,1
706_0,7,160,0,0,1,0
707_0,20,128,0,8,3,2
708_0,57,128,2,4,13,2
709_0,9,160,2,0,1,0
710_0,30,128,0,6,5,1
711_0,55,128,2,4,15,2
712_0,22,136,0,7,3,1
713_0,79,0,2,7,27,11
714_0,51,129,0,4,13,2
715_0,13,128,0,7,2,1
716_0,36,132,2,5,7,1
717_0,63,129,0,4,15,2
718_0,19,136,2,5,3,1
719_0,36,128,2,6,9,2
721_0,33,136,2,6,6,1
723_0,15,128,2,8,2,1
724_0,63,0,0,9,14,4
727_0,53,128,2,4,14,2
728_0,27,136,0,6,4,1
729_0,11,136,2,6,2,1
731_0,36,128,2,5,8,1
733_0,23,128,2,5,4,1
734_0,41,132,2,5,8,1
735_0,51,128,0,4,14,2
736_0,38,129,0,5,8,1
738_0,11,128,0,6,2,1
739_0,40,128,0,5,10,2
740_0,17,136,2,9,3,1
741_0,47,128,0,4,14,2
742_0,13,128,0,6,2,1
743_0,77,0,2,9,24,11
745_0,18,128,0,9,3,1
746_0,57,129,2,4,14,2
747_0,55,128,2,4,15,2
749_0,27,128,0,6,5,2
750_0,17,128,0,8,3,1
751_0,32,128,0,5,8,2
752_0,64,128,0,4,18,2
753_0,64,0,2,9,15,4
757_0,78,0,2,7,28,12
758_0,79,8,8,8,27,10.5
759_0,40,136,2,5,7,1
760_0,69,0,2,8,18,9.5
761_0,79,0,2,7.5,26,11
762_0,45,128,2,5,11,2
763_0,39,128,2,4,7,1
764_0,45,128,2,5,12,2
765_0,20,128,2,9,3,2
771_0,14,136,0,7,2,1
773_0,34,129,2,6,8,2
774_0,39,128,2,5,9,2
775_0,31,129,2,3,6,1
777_0,13,128,0,7,2,1
778_0,0,160,97,0,0,0
779_0,40,8,2,8,7,2
780_0,12,128,0,7,2,1
781_0,33,128,0,7,8,2
782_0,44,0,0,10,8,3
783_0,73,0,2,9,21,10
784_0,85,1,48,7.5,39,11
785_0,17,136,2,8,3,1
786_0,25,128,2,6,4,1
790_0,54,128,0,4,16,2
791_0,61,128,0,4,17,2
792_0,55,128,0,3,11,1
793_0,29,132,2,5,6,1
794_0,76,0,2,8.5,26,11
795_0,54,0,2,8,12,3
796_0,45,128,2,5,11,1
797_0,10,128,2,6,2,1
798_0,40,128,0,5,10,2
799_0,29,128,2,7,6,1
800_0,66,0,2,10,18,5
801_0,9,136,0,0,1,0
802_0,22,128,2,8,4,1
803_0,31,128,0,4,5,1
804_0,56,136,2,4,16,2
805_0,16,136,0,7,2,1
807_0,84,0,18,7,37,12
808_0,19,136,8,4,3,1
809_0,59,8,0,9,13,3
810_0,9,136,2,0,1,0
811_0,12,128,2,7,2,1
812_0,55,128,2,4,14,2
813_0,24,136,2,5,3,1
814_0,40,128,0,6,10,2
815_0,13,128,0,7,2,1
816_0,34,128,2,1,6,0
817_0,23,128,0,8,4,2
