system:index,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep
0_0,4,6,12,17,17,5,1,12,2,6,6,4
1_0,40,1,99,94,100,1,5,77,16,68,28,4
2_0,39,1,125,102,98,0,5,70,17,58,28,2
3_0,26,13,51,61,60,13,1,50,10,28,16,13
4_0,44,10,107,96,118,8,18,86,40,94,47,16
5_0,3,13,11,14,13,8,1,9,1,5,7,8
6_0,22,1,48,51,60,0,1,41,7,35,14,3
7_0,29,1,62,59,67,1,2,51,10,44,19,4
8_0,25,2,47,52,58,2,2,45,8,37,12,4
9_0,21,1,45,46,53,0,1,41,7,28,12,3
10_0,1,13,10,11,11,6,0,6,2,4,7,9
11_0,27,10,54,35,43,8,20,36,31,46,32,13
12_0,32,10,49,39,44,9,22,41,38,45,31,16
13_0,17,1,43,61,60,1,1,38,4,25,10,4
14_0,70,8,133,127,149,6,18,117,45,115,57,19
15_0,5,12,13,16,13,10,1,12,3,6,8,7
16_0,16,1,33,39,45,2,1,33,6,19,8,3
17_0,47,2,109,106,118,2,4,89,15,74,33,5
18_0,32,2,85,81,92,1,3,63,12,54,25,4
19_0,23,16,48,58,56,14,1,47,9,28,15,11
20_0,1,14,11,11,12,7,0,6,2,4,8,8
21_0,13,4,30,32,35,3,2,29,6,20,9,5
22_0,6,12,22,22,22,8,1,14,3,10,8,8
23_0,20,3,48,61,57,5,1,40,7,28,13,7
24_0,27,9,58,51,57,8,16,48,31,50,29,13
25_0,2,13,9,11,10,7,0,6,2,3,6,8
26_0,59,10,102,100,118,10,18,95,38,86,44,19
27_0,34,2,81,78,87,1,2,61,11,52,26,3
28_0,26,3,48,62,57,3,2,47,9,30,14,6
29_0,18,5,33,26,29,6,12,24,23,27,18,7
30_0,3,10,12,13,13,9,1,7,2,6,6,7
31_0,94,7,232,174,206,2,16,171,44,174,88,19
32_0,79,3,142,136,155,1,8,125,31,108,46,9
33_0,56,10,98,102,118,12,17,94,34,83,43,19
34_0,37,2,86,82,92,1,3,65,12,55,25,3
35_0,16,2,38,54,51,2,1,40,5,23,11,4
36_0,26,1,65,75,82,3,1,60,7,37,17,4
37_0,33,9,68,58,65,7,19,55,33,61,36,15
38_0,17,6,37,42,44,4,2,36,7,27,11,7
39_0,35,3,60,57,68,2,2,61,14,38,18,6
40_0,2,8,9,10,10,3,0,6,1,2,4,4
41_0,54,1,114,108,114,2,5,97,21,86,36,5
42_0,54,3,157,146,163,1,6,114,21,104,47,7
43_0,29,9,38,28,32,7,20,33,37,36,26,14
44_0,15,2,38,51,50,2,1,38,4,23,10,4
45_0,100,7,221,197,224,4,22,177,62,174,79,21
46_0,71,13,161,122,142,8,24,122,47,137,77,23
47_0,24,12,57,56,71,13,15,48,26,50,28,14
48_0,8,0,49,35,57,5,0,48,11,21,11,4
49_0,54,2,169,156,182,1,6,117,22,105,46,7
50_0,58,0,156,124,149,1,7,109,24,69,45,12
51_0,57,8,84,90,98,11,8,90,26,57,28,12
52_0,81,11,184,154,179,5,25,143,54,150,76,22
53_0,96,12,272,186,237,5,25,187,56,221,115,29
54_0,7,7,13,19,17,6,3,13,5,10,7,7
55_0,28,9,70,64,75,7,13,56,29,64,34,13
56_0,2,14,11,11,11,8,0,6,5,4,7,11
57_0,30,25,52,57,67,30,18,52,23,41,23,23
58_0,3,14,13,17,16,9,1,10,3,6,10,9
59_0,19,7,39,33,38,7,13,29,25,33,21,9
60_0,8,7,7,12,9,6,3,9,9,8,9,7
61_0,81,8,181,152,170,5,23,143,45,142,72,22
62_0,31,11,80,74,93,11,16,60,28,69,36,17
63_0,8,10,16,24,21,7,2,17,4,10,9,5
64_0,31,1,92,90,101,1,2,67,12,58,25,4
65_0,29,7,58,69,64,7,2,54,11,35,16,8
66_0,104,10,277,189,233,3,23,196,54,209,102,26
67_0,112,14,273,187,234,6,27,197,63,215,111,31
68_0,42,1,70,75,85,0,3,74,16,45,23,4
69_0,68,4,187,152,182,1,9,133,28,126,57,10
70_0,57,11,124,112,135,8,19,105,46,107,53,19
71_0,27,8,53,65,59,8,2,51,10,32,15,8
72_0,6,3,19,22,24,2,1,16,2,12,5,3
73_0,95,8,239,163,196,4,22,174,46,175,84,21
74_0,27,2,59,58,70,1,1,51,8,41,16,3
75_0,30,1,60,63,70,1,1,54,10,42,18,3
76_0,22,1,48,49,58,1,1,42,7,34,14,3
77_0,2,7,14,17,16,4,1,9,1,5,5,4
78_0,5,7,15,23,23,5,1,16,3,9,7,4
79_0,22,8,51,48,59,8,3,42,12,35,16,8
80_0,51,13,85,85,99,16,11,80,28,59,28,15
81_0,49,1,126,110,118,1,6,95,22,92,36,6
82_0,34,13,70,68,82,13,18,62,34,63,35,17
83_0,21,18,35,35,43,21,12,32,17,30,15,16
84_0,26,14,59,66,66,12,2,58,11,34,17,11
85_0,7,3,32,31,38,11,0,23,5,12,6,1
86_0,17,1,28,35,37,1,1,32,5,16,7,3
87_0,107,10,271,185,228,4,23,191,51,198,96,25
88_0,33,9,42,31,37,8,22,36,39,41,29,14
89_0,27,1,45,48,53,1,1,49,10,28,14,3
90_0,6,1,38,30,62,17,0,42,6,14,8,2
91_0,29,1,57,72,78,3,2,59,8,37,15,5
92_0,66,10,180,137,165,5,19,125,40,146,72,18
93_0,31,2,82,78,88,1,3,61,11,52,24,3
94_0,5,0,24,20,45,4,3,50,4,10,8,10
95_0,26,1,52,54,63,1,1,45,8,39,15,3
96_0,96,8,233,161,195,2,21,170,48,175,88,23
97_0,18,1,37,39,46,1,1,36,7,21,10,3
98_0,69,3,173,135,189,2,6,116,13,91,96,15
99_0,70,13,167,122,147,6,22,119,46,138,79,22
100_0,25,1,54,64,69,3,1,54,6,33,14,4
101_0,5,18,14,20,17,13,1,13,4,7,11,11
102_0,93,9,238,170,207,4,20,167,47,178,93,23
103_0,39,10,110,77,96,9,18,63,31,87,49,14
104_0,19,3,42,52,48,4,1,34,8,21,13,3
105_0,26,14,57,57,71,15,17,50,27,51,28,15
106_0,45,1,118,105,112,2,6,89,21,87,35,6
107_0,33,9,61,75,70,7,2,63,13,38,17,9
108_0,37,2,108,106,117,1,3,79,14,71,29,5
109_0,55,9,81,92,103,13,13,86,31,65,34,18
110_0,24,10,50,46,52,10,15,40,29,43,26,12
111_0,2,6,12,13,13,3,0,7,1,4,5,4
112_0,29,10,65,56,65,8,17,52,34,56,33,14
113_0,2,11,13,12,12,8,0,6,2,5,6,6
114_0,62,9,159,132,155,4,18,112,35,126,59,17
115_0,5,8,15,23,22,6,1,14,3,9,10,4
116_0,38,1,76,73,80,1,2,63,13,55,22,3
117_0,26,1,65,76,83,3,1,60,7,36,16,4
118_0,5,5,9,15,13,4,2,10,3,6,6,6
119_0,7,18,19,21,19,15,2,14,3,11,12,9
120_0,61,1,103,106,117,1,6,102,22,72,33,8
121_0,66,3,179,154,168,1,8,129,26,119,55,10
122_0,2,1,26,20,28,4,1,18,2,10,0,3
123_0,24,1,50,53,59,0,1,47,8,33,14,3
124_0,1,14,10,11,11,7,1,7,2,4,7,9
125_0,21,8,22,16,20,8,18,20,31,24,19,11
126_0,22,19,47,56,55,16,1,46,8,27,15,15
127_0,12,14,35,37,39,10,1,26,5,19,11,11
128_0,39,2,119,112,121,1,4,81,15,80,33,6
129_0,82,6,205,169,198,4,20,151,42,150,73,22
130_0,28,6,54,66,61,6,2,51,10,34,15,7
131_0,4,6,11,18,17,4,1,12,3,5,9,3
132_0,72,5,167,140,160,3,17,125,47,131,63,15
133_0,10,3,24,29,30,3,1,24,4,15,7,3
134_0,13,12,22,25,28,17,8,19,13,19,10,11
135_0,37,15,61,47,50,11,27,54,42,57,42,18
136_0,16,14,30,27,33,16,12,27,19,24,15,10
137_0,3,15,11,12,13,9,1,9,2,5,8,9
138_0,62,2,133,119,127,1,7,108,24,101,42,7
139_0,29,2,61,63,72,1,1,58,8,43,17,5
140_0,4,10,17,17,17,8,0,10,2,8,7,7
141_0,4,4,9,15,13,4,1,9,3,6,6,4
142_0,11,3,36,42,40,7,1,23,7,12,10,2
143_0,73,6,201,164,192,2,11,138,30,143,64,13
